X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y
3,0,4,0.07,1,4,1.00,c,a,1.00,c,16,a,b,1,b,1,yes,1
0,-3,1,0.07,1,5,1.00,c,a,1.00,b,30,c,b,1,c,1,yes,1
2,6,1,0.20,3,2,1.00,a,a,0.33,c,4,c,b,1,c,1,yes,1
1,29,3,0.58,2,2,0.00,b,a,0.00,a,2,c,b,1,b,1,yes,1
1,30,3,0.25,2,4,1.00,c,a,0.67,b,-7,c,b,1,c,2,yes,1
2,30,2,0.40,3,1,0.33,c,a,1.00,d,-2,c,c,1,d,1,yes,1
2,-6,3,0.05,2,3,1.00,b,c,1.00,a,16,c,b,2,c,1,yes,1
1,6,2,0.04,2,2,1.00,d,a,1.00,a,15,b,b,1,c,1,yes,2
0,-6,3,0.05,2,3,0.33,d,a,0.33,a,-7,c,b,1,c,1,no,1
2,18,3,0.50,2,2,0.00,d,a,1.00,c,-5,c,a,1,d,1,yes,2
1,6,1,0.34,2,5,0.33,b,a,1.00,d,11,c,c,2,d,2,yes,1
3,24,1,0.25,2,5,1.00,c,a,1.00,d,23,c,c,1,c,1,yes,1
0,30,1,0.41,1,5,1.00,a,a,0.33,c,13,a,b,2,d,2,yes,1
2,30,3,0.53,2,2,0.00,b,a,0.33,c,-7,c,b,1,c,1,yes,2
0,-6,3,0.24,1,2,0.00,b,a,1.00,c,-13,c,a,1,c,1,yes,1
0,-8,3,0.06,1,5,1.00,c,b,0.33,b,12,c,b,1,b,1,no,1
0,0,3,0.12,2,3,0.67,c,a,1.00,a,10,c,b,1,c,1,yes,1
2,3,1,0.14,5,4,0.67,c,a,0.33,c,-6,c,b,2,c,1,yes,1
0,-12,3,0.02,2,1,0.00,b,a,1.00,a,21,c,b,1,a,1,yes,1
2,18,5,0.20,2,3,1.00,b,a,0.00,c,9,c,b,1,c,1,yes,2
3,6,1,0.06,1,4,1.00,c,a,0.33,a,4,a,b,2,b,2,yes,2
1,-8,1,0.04,2,4,1.00,c,b,0.67,b,16,c,b,2,c,1,yes,1
0,30,1,0.54,4,3,0.33,c,a,0.33,d,11,a,c,1,c,1,yes,2
0,-12,3,0.07,5,3,1.00,a,a,0.33,a,0,c,b,1,c,1,yes,1
0,12,3,0.25,1,4,0.33,b,a,1.00,b,-9,b,a,1,b,1,yes,1
1,-6,3,0.03,3,2,1.00,d,a,0.67,d,0,c,b,1,b,1,yes,2
2,-10,3,0.05,2,3,0.67,b,a,1.00,a,-9,c,b,1,c,1,yes,2
2,-9,3,0.00,2,3,1.00,d,a,1.00,a,-11,c,a,1,b,1,yes,1
2,30,3,0.28,1,1,0.67,c,a,1.00,d,7,a,c,1,a,1,yes,1
0,6,3,0.29,3,3,1.00,c,a,0.00,c,-8,b,b,1,c,1,yes,1
3,6,3,0.19,2,2,0.33,b,a,1.00,c,-7,c,b,1,c,1,yes,1
2,-6,3,0.02,2,4,0.33,d,a,0.67,c,-8,a,b,1,b,1,yes,2
3,-14,3,0.07,1,2,0.00,c,a,0.33,a,-4,c,b,1,b,2,no,1
1,18,4,0.14,2,5,1.00,c,a,1.00,c,-2,a,b,1,c,1,yes,2
1,-6,3,0.03,2,3,0.33,c,c,0.67,b,5,c,b,1,b,2,yes,1
2,6,3,0.23,1,3,0.00,b,a,1.00,b,15,c,b,1,b,1,yes,1
0,-6,1,0.02,2,3,1.00,c,a,0.33,c,-1,c,b,2,c,1,yes,1
1,-3,2,0.19,2,5,0.00,b,a,1.00,b,-6,c,b,2,b,1,yes,1
2,12,1,0.22,2,1,1.00,d,a,0.33,c,-5,c,b,2,d,1,yes,2
1,6,3,0.09,2,2,1.00,a,a,0.67,b,-1,c,b,1,c,1,yes,2
1,6,3,0.15,2,4,0.33,c,a,0.00,d,1,c,c,1,d,1,yes,1
1,0,3,0.13,5,3,1.00,c,a,0.33,c,-5,c,b,1,c,1,yes,1
0,0,1,0.04,2,3,1.00,b,a,0.67,a,3,c,b,2,c,1,yes,1
1,-10,1,0.17,2,4,0.00,c,a,1.00,c,6,c,b,2,b,1,no,1
0,-6,1,0.31,1,5,0.33,c,a,1.00,b,16,c,a,1,c,1,yes,1
0,6,3,0.07,5,4,1.00,b,a,0.67,c,1,c,b,1,c,2,yes,1
3,18,3,0.23,2,5,1.00,c,a,0.33,c,-2,c,b,1,c,1,yes,1
2,-12,3,0.05,2,5,1.00,c,a,1.00,c,-5,c,b,1,c,2,yes,1
1,6,1,0.35,2,1,0.33,c,a,1.00,d,42,c,c,2,d,1,yes,1
0,0,1,0.09,3,3,1.00,b,a,0.33,a,-3,c,b,2,c,1,yes,2
2,42,3,0.39,3,2,1.00,b,a,0.33,b,-9,c,b,1,d,1,yes,2
0,30,1,0.62,3,3,0.33,b,a,1.00,c,-9,a,a,2,b,1,yes,2
1,6,5,0.21,2,5,0.67,c,a,1.00,d,-10,a,a,2,c,2,yes,2
1,-12,1,0.17,2,3,0.00,a,a,1.00,a,11,c,a,1,d,1,yes,2
2,-5,3,0.10,2,2,1.00,b,c,1.00,b,-10,c,b,1,b,1,yes,1
1,-3,3,0.06,1,3,1.00,b,a,0.33,c,-9,c,a,1,c,1,yes,2
1,6,,0.22,2,3,1.00,c,a,1.00,b,-5,c,b,1,c,1,yes,1
2,-8,3,0.07,2,3,1.00,a,a,0.33,c,-2,c,b,1,b,1,yes,1
2,6,1,0.30,2,2,0.33,b,a,1.00,d,-9,c,c,2,c,1,yes,1
1,3,3,0.18,2,4,0.00,b,a,1.00,c,-7,c,a,1,b,1,yes,1
2,0,3,0.16,4,2,0.00,d,a,0.67,a,-8,c,a,1,c,1,yes,1
2,0,3,0.23,2,5,0.00,c,b,0.00,a,0,a,b,1,d,1,yes,1
3,-8,3,0.20,2,2,0.00,c,c,0.00,b,4,c,b,1,b,2,yes,1
0,-3,1,0.07,2,3,1.00,b,a,0.33,c,10,c,b,1,b,1,yes,1
2,-5,1,0.03,2,2,1.00,c,c,1.00,a,-10,c,b,2,c,1,yes,1
2,6,3,0.19,4,1,0.00,b,a,1.00,d,-10,c,a,1,a,1,yes,1
0,-12,2,0.08,3,3,0.00,c,a,0.33,a,1,c,b,2,b,1,yes,1
2,-9,1,0.05,5,5,1.00,c,a,0.67,d,-1,c,c,2,c,2,yes,2
0,-9,3,0.05,2,2,0.00,b,a,1.00,a,-10,c,a,1,c,1,yes,1
2,-9,3,0.04,2,3,0.00,b,a,0.33,c,-4,c,b,1,c,1,no,2
0,0,1,0.16,1,1,0.33,c,a,1.00,d,5,c,b,1,d,1,yes,1
1,-6,5,0.33,2,3,1.00,c,a,0.33,b,-5,c,a,2,c,1,yes,2
0,-8,3,0.03,4,5,1.00,c,a,1.00,d,13,c,c,1,c,1,yes,1
2,6,3,0.05,2,2,1.00,c,a,0.33,a,-10,b,b,1,b,1,yes,2
0,-6,1,0.11,1,5,0.00,c,b,1.00,a,16,c,b,1,c,1,yes,1
0,18,2,0.23,2,3,1.00,c,a,0.33,c,-7,c,b,2,d,1,yes,2
0,-6,3,0.03,2,3,1.00,d,a,0.33,a,-5,c,b,1,c,1,yes,1
1,12,3,0.12,2,4,1.00,b,a,1.00,a,-10,c,a,1,c,1,yes,2
2,0,3,0.05,1,3,1.00,c,a,1.00,d,28,c,c,1,c,1,yes,1
3,-6,3,0.17,1,5,0.33,c,a,0.67,c,4,c,b,1,d,1,yes,1
3,-6,2,0.11,2,3,0.33,b,a,0.33,c,3,b,b,2,c,1,yes,1
0,-12,3,0.08,2,3,0.00,d,a,0.33,b,-12,c,a,1,c,1,yes,1
1,0,3,0.12,2,1,1.00,c,a,0.00,c,-8,c,b,1,a,1,yes,2
0,-6,3,0.07,2,4,0.33,c,a,1.00,c,3,c,b,1,c,1,yes,1
0,0,1,0.20,2,4,0.67,c,a,0.00,c,-6,c,b,2,c,1,yes,1
1,0,3,0.19,2,2,0.00,b,a,1.00,c,-11,c,a,1,c,1,yes,1
1,18,3,0.18,2,5,1.00,c,a,0.33,c,9,c,b,1,c,2,yes,2
2,0,3,0.15,2,4,0.33,b,a,1.00,a,7,c,a,1,c,1,yes,1
0,18,3,0.16,1,3,1.00,c,a,1.00,a,3,c,b,1,c,1,yes,1
0,0,1,0.32,2,5,0.67,c,a,1.00,c,0,c,b,2,c,1,yes,1
0,-8,1,0.10,2,2,0.00,b,a,0.67,a,-10,c,a,2,c,1,yes,1
0,42,1,0.74,1,5,0.33,c,a,1.00,d,30,a,c,1,d,1,yes,1
2,42,4,0.80,3,5,0.67,b,a,1.00,d,27,a,c,2,d,1,yes,2
1,30,4,0.41,2,4,0.33,b,c,1.00,c,4,c,a,1,c,1,yes,2
0,0,2,0.11,2,1,0.33,d,a,0.67,a,1,c,b,2,c,1,yes,1
0,-11,2,0.03,1,5,0.67,c,a,1.00,d,3,c,c,1,c,1,yes,1
2,18,3,0.77,2,5,1.00,c,a,0.33,d,24,c,c,1,d,1,yes,2
0,-12,1,0.01,3,3,1.00,b,a,1.00,c,19,c,b,2,b,1,yes,1
1,2,3,0.11,1,4,1.00,c,a,1.00,c,6,c,b,1,c,1,yes,1
2,0,3,0.70,2,1,0.67,b,a,1.00,d,5,c,c,1,d,1,yes,2
0,4,3,0.06,1,4,1.00,b,a,1.00,b,-8,c,a,1,c,1,yes,1
3,-6,3,0.06,2,2,1.00,c,a,0.00,a,-7,c,b,1,c,1,yes,1
0,12,2,0.22,3,3,0.33,c,a,0.33,b,-7,c,b,2,b,1,yes,1
0,0,1,0.11,2,3,0.33,b,a,0.00,c,-8,c,b,2,c,1,yes,1
0,0,3,0.05,1,2,1.00,b,a,0.33,a,-12,c,a,1,c,1,yes,1
2,0,1,0.39,2,1,1.00,c,a,1.00,b,7,b,b,2,d,1,yes,1
2,-3,1,0.11,4,3,0.33,c,a,1.00,c,-6,a,b,1,c,1,yes,1
0,-9,3,0.07,2,4,0.67,b,a,0.33,c,-6,c,b,2,c,1,yes,1
0,0,3,0.09,2,3,0.33,d,a,0.33,b,-3,c,b,1,d,1,yes,1
2,-6,3,0.04,5,2,0.00,b,a,1.00,a,-14,c,a,1,b,1,yes,1
1,18,3,0.17,2,4,0.33,c,a,1.00,d,6,a,c,1,d,2,yes,1
1,-12,1,0.09,2,4,0.00,b,a,1.00,c,-2,c,b,1,c,1,yes,1
0,-9,1,0.12,2,1,0.33,c,a,0.67,c,-2,c,b,1,d,1,yes,1
2,21,2,0.63,3,4,0.33,c,a,0.67,d,-1,c,a,1,c,1,yes,1
1,-6,3,0.13,2,1,0.67,b,a,1.00,d,22,c,c,1,d,1,yes,1
1,18,1,0.12,2,3,0.67,d,a,0.33,b,13,c,b,2,c,1,yes,1
2,-6,3,0.05,2,5,0.00,a,a,0.00,a,13,c,a,2,c,1,yes,2
0,6,1,0.07,5,3,1.00,b,a,0.00,a,10,c,b,2,b,1,yes,1
0,0,3,0.07,2,2,0.67,d,a,1.00,a,6,c,b,1,c,1,yes,1
2,0,1,0.09,1,3,1.00,d,a,1.00,a,-5,a,b,2,c,1,yes,1
0,6,2,0.46,2,2,0.33,c,a,0.33,c,-6,a,b,2,c,1,yes,2
0,-4,2,0.03,2,3,1.00,c,a,0.33,c,-6,c,b,2,b,1,yes,1
2,0,2,0.15,1,5,1.00,c,a,1.00,c,10,c,b,1,c,2,yes,1
2,6,3,0.10,2,2,0.00,d,a,0.00,b,-11,c,b,1,c,1,yes,2
0,6,1,0.11,1,4,1.00,c,a,1.00,c,10,c,b,2,c,2,yes,1
1,-3,3,0.04,2,2,1.00,d,a,0.33,a,-6,c,b,1,c,1,no,1
0,6,3,0.16,4,5,0.67,a,a,0.33,c,-7,c,b,1,d,1,yes,1
3,-6,1,0.04,4,4,1.00,d,a,0.33,a,-5,c,b,3,c,1,yes,2
2,6,3,0.09,2,5,1.00,b,a,1.00,c,-13,c,b,1,c,1,yes,1
0,15,1,0.39,2,4,0.67,c,a,0.33,c,2,c,b,2,d,1,yes,1
0,-6,1,0.11,2,1,1.00,c,a,0.33,c,9,b,b,2,d,1,yes,2
0,-8,3,0.07,4,3,0.67,c,a,0.33,d,7,c,a,1,b,2,no,1
1,6,3,0.06,1,3,1.00,b,a,0.33,b,2,c,b,1,c,1,yes,2
0,18,1,0.31,2,5,0.33,c,a,0.33,b,2,c,b,2,c,2,yes,1
1,-6,3,0.13,2,2,1.00,c,a,0.00,a,0,c,b,1,b,2,yes,2
1,0,2,0.45,1,3,0.00,b,a,0.33,c,-10,c,a,2,c,1,yes,1
0,3,3,0.14,4,4,0.00,b,a,0.33,c,-2,a,b,1,d,1,yes,1
2,0,3,0.04,1,3,1.00,b,a,0.33,b,0,c,b,1,c,1,yes,2
0,-3,3,0.16,5,4,0.33,b,a,0.67,c,-13,c,a,1,c,1,yes,1
2,-6,3,0.10,1,3,1.00,c,a,0.33,c,-3,c,b,1,c,1,yes,1
2,-6,1,0.04,2,4,0.33,c,a,0.67,a,14,c,b,2,b,2,yes,1
0,3,2,0.07,3,4,1.00,c,a,0.67,a,1,c,b,2,d,1,yes,1
2,-6,3,0.14,1,5,0.00,b,a,0.33,b,-8,a,b,1,c,1,yes,2
2,0,3,0.14,2,3,0.00,d,a,0.67,c,-12,c,a,1,c,1,yes,1
0,10,1,0.14,2,5,1.00,c,a,0.33,c,-4,c,b,2,c,1,yes,1
0,0,1,0.05,5,3,1.00,c,a,0.67,a,13,c,b,2,c,1,yes,1
0,-9,3,0.06,2,5,0.00,c,a,1.00,c,-13,c,b,1,c,1,yes,1
1,0,1,0.05,2,1,0.33,b,a,1.00,d,22,c,c,3,a,2,yes,2
0,-13,3,0.18,2,4,0.00,c,a,1.00,a,41,c,b,1,b,1,yes,1
2,6,3,0.61,2,3,0.33,c,b,0.67,c,-4,a,b,2,d,1,yes,2
1,-12,1,0.09,2,1,1.00,c,a,1.00,d,3,c,c,3,d,1,yes,1
0,6,1,0.10,2,3,1.00,a,a,0.33,a,0,c,b,2,c,1,yes,1
1,-9,3,0.10,2,3,0.67,c,a,0.33,a,-8,c,b,1,c,1,yes,1
2,-6,3,0.07,1,3,0.33,d,a,0.00,a,-8,c,b,1,c,1,yes,2
0,-12,3,0.02,4,4,0.33,d,a,1.00,a,-10,c,a,1,b,1,yes,1
0,6,1,0.06,5,5,1.00,b,a,1.00,a,4,c,b,2,c,1,yes,1
1,24,1,0.17,2,1,1.00,c,b,1.00,c,32,c,b,2,a,1,yes,1
3,-6,4,0.02,2,2,1.00,b,a,0.00,a,-7,c,b,1,a,1,yes,2
0,-6,3,0.09,2,5,1.00,c,a,1.00,c,6,c,b,1,d,1,yes,1
1,-6,3,0.08,2,3,0.33,b,b,0.67,b,-3,c,b,1,c,1,yes,1
2,2,2,0.13,2,3,0.33,c,a,0.67,c,-4,a,b,2,c,1,yes,1
0,-6,3,0.03,2,5,1.00,c,a,1.00,c,8,a,b,1,b,2,yes,2
2,30,1,0.27,2,3,0.33,b,a,0.67,c,-3,c,b,1,d,1,yes,2
0,-9,1,0.05,1,5,1.00,b,a,1.00,b,8,c,a,2,b,1,yes,1
1,18,3,0.09,2,2,1.00,b,a,1.00,c,1,c,b,1,c,1,yes,2
2,-11,3,0.13,2,3,0.33,c,c,0.33,a,2,c,b,1,c,1,yes,1
3,-6,3,0.06,1,5,0.67,b,a,1.00,a,22,c,b,1,d,1,yes,1
2,-3,2,0.07,5,3,0.67,d,a,0.67,b,28,b,b,2,c,1,yes,2
0,18,1,0.59,1,3,1.00,c,a,0.33,c,-3,c,b,1,d,1,yes,1
0,-12,3,0.01,2,3,0.67,b,a,0.00,a,-4,c,b,1,c,1,yes,1
0,-6,5,0.14,2,5,0.33,c,a,1.00,b,1,c,b,2,c,1,yes,1
0,6,3,0.13,2,5,1.00,c,a,1.00,c,2,c,b,1,d,1,yes,1
1,6,3,0.25,2,4,0.33,c,b,0.67,b,-2,c,b,1,c,1,yes,2
0,6,3,0.13,2,2,1.00,b,a,0.00,d,-4,c,b,1,d,1,yes,1
1,-7,1,0.20,2,3,0.33,c,a,0.33,a,3,c,a,2,c,2,yes,1
1,-6,3,0.17,2,5,0.67,c,a,1.00,d,2,c,c,1,c,1,yes,2
1,-12,3,0.01,2,2,1.00,b,a,0.00,a,-6,c,b,1,c,1,yes,1
0,0,3,0.24,2,2,0.67,c,a,0.33,c,-1,c,b,1,c,1,yes,1
1,18,3,0.19,2,3,0.00,c,c,0.33,b,4,c,b,1,c,2,yes,1
1,-3,3,0.08,2,2,0.33,c,a,0.67,a,3,c,b,1,c,1,yes,1
2,-6,3,0.15,2,2,0.67,b,a,0.00,a,1,c,a,1,d,1,yes,1
2,-6,3,0.03,1,5,1.00,c,a,1.00,b,5,c,b,2,c,1,yes,1
0,0,3,0.09,2,4,1.00,c,a,0.00,c,1,b,b,2,c,1,yes,1
1,6,3,0.15,2,3,0.67,c,c,1.00,d,30,a,b,1,c,2,yes,1
1,6,2,0.08,2,2,1.00,b,a,0.33,c,-4,c,a,1,b,1,yes,2
0,30,2,0.38,1,5,0.67,c,a,0.67,c,-1,a,b,2,c,2,yes,1
0,15,2,0.14,2,3,0.33,b,a,0.33,c,-7,c,b,2,c,1,yes,1
0,6,2,0.24,2,4,0.67,c,a,0.67,c,2,c,b,2,b,1,yes,1
2,6,3,0.16,3,2,0.67,d,a,0.33,c,-11,c,a,1,c,1,yes,2
1,-12,3,0.01,2,2,1.00,b,a,1.00,b,-10,c,b,1,c,1,yes,2
1,-9,3,0.02,2,3,1.00,c,a,0.67,c,-5,c,b,1,b,1,yes,2
0,-12,3,0.05,1,1,1.00,c,a,1.00,b,3,c,b,1,d,2,yes,1
2,0,1,0.05,2,3,1.00,d,a,0.33,c,0,c,b,1,c,1,yes,2
1,0,5,0.16,2,2,0.00,b,a,1.00,b,-7,c,a,1,c,1,yes,2
0,21,3,0.13,4,3,1.00,c,a,1.00,c,-9,c,b,1,c,1,yes,1
3,6,3,0.27,2,4,1.00,c,a,0.33,c,-8,a,b,1,c,1,yes,1
2,-6,3,0.04,3,4,0.67,c,a,1.00,a,6,c,b,1,b,1,yes,1
1,-3,1,0.07,2,5,1.00,c,a,1.00,c,11,c,b,2,c,2,yes,1
2,-6,1,0.18,2,3,0.00,b,a,0.00,a,-10,c,b,1,b,1,yes,1
2,6,3,0.05,2,2,1.00,c,a,0.00,b,-7,c,b,1,c,1,yes,1
1,12,3,0.19,5,5,1.00,b,a,1.00,b,24,c,a,2,c,1,yes,1
0,-3,2,0.04,5,4,0.67,b,a,0.33,b,-3,c,b,2,c,1,yes,1
0,-6,1,0.05,4,3,1.00,c,a,1.00,a,11,c,b,1,c,1,yes,1
2,-12,2,0.05,2,1,1.00,c,a,1.00,b,14,c,b,1,d,1,yes,2
0,-6,3,0.16,2,3,0.33,c,a,1.00,c,19,c,b,1,c,1,yes,1
0,6,3,0.19,2,5,1.00,b,b,1.00,d,29,c,c,1,c,1,yes,1
0,-8,3,0.06,3,3,0.67,c,a,0.33,a,2,c,a,1,b,1,no,1
0,-12,3,0.18,2,3,0.33,c,c,0.67,b,-7,c,a,1,c,1,yes,1
0,-6,1,0.09,2,5,0.33,c,a,0.33,d,-7,c,b,2,c,1,yes,1
2,9,5,0.44,2,5,0.33,b,a,1.00,d,9,c,c,2,d,1,yes,2
0,-12,1,0.05,3,3,0.00,b,a,0.00,b,-6,c,b,2,c,1,yes,1
2,-12,3,0.01,1,5,1.00,c,a,1.00,b,5,c,b,1,c,1,yes,1
1,-6,1,0.10,2,3,0.67,c,a,0.33,a,6,c,a,2,b,2,no,1
1,6,3,0.15,1,3,0.33,d,a,1.00,c,-13,c,b,1,c,1,yes,2
2,18,3,0.48,3,2,1.00,c,b,0.00,d,-4,c,a,1,d,1,yes,2
0,6,1,0.07,2,4,1.00,c,a,0.67,b,7,c,b,2,c,1,yes,1
2,0,3,0.06,2,5,1.00,d,c,0.33,a,-1,c,b,1,b,1,yes,1
3,-12,1,0.06,3,5,0.33,a,a,1.00,c,-5,c,b,2,c,2,yes,1
1,6,3,0.16,2,2,1.00,b,a,0.00,b,-6,c,b,1,c,1,yes,2
1,18,3,0.29,2,5,0.33,c,a,1.00,d,9,c,c,1,c,2,yes,1
3,-9,3,0.05,3,5,0.33,a,a,1.00,a,16,c,b,1,c,1,yes,1
2,6,1,0.05,3,2,1.00,c,a,1.00,d,5,a,b,2,c,2,yes,2
1,6,3,0.05,2,2,1.00,b,a,1.00,b,-9,c,a,1,c,1,yes,2
0,-8,3,0.06,1,3,1.00,c,c,1.00,b,-6,c,b,1,b,1,yes,2
3,-3,1,0.12,4,3,0.33,c,a,0.33,c,3,c,b,1,c,1,yes,1
2,-3,4,0.36,3,1,0.00,c,a,0.33,b,1,c,b,1,d,2,yes,2
0,6,3,0.06,2,3,1.00,d,a,0.33,b,-5,c,b,1,c,1,yes,1
0,21,3,0.46,3,5,1.00,c,a,0.33,c,12,c,b,1,d,1,yes,1
1,-6,3,0.03,2,4,1.00,c,a,0.33,a,-7,c,b,1,c,1,yes,2
0,18,3,0.24,2,3,0.33,c,a,0.33,d,-1,c,c,1,d,1,yes,1
3,-3,3,0.13,2,4,0.33,c,a,1.00,b,-7,c,a,1,c,1,yes,1
2,-6,2,0.02,2,3,1.00,d,b,1.00,a,-13,c,a,2,c,1,yes,1
0,6,3,0.11,1,2,1.00,c,a,0.00,b,21,c,b,1,c,1,yes,1
1,-12,1,0.02,2,4,1.00,b,a,0.67,b,4,c,b,2,c,1,no,1
1,-12,1,0.06,2,2,0.33,c,a,1.00,a,7,c,b,1,b,2,no,1
0,18,1,0.38,2,2,0.33,b,a,1.00,b,-10,c,a,2,c,1,yes,2
1,-12,3,0.05,3,5,0.67,c,a,0.33,b,10,c,b,1,c,1,yes,1
0,-12,1,0.02,1,5,1.00,c,a,1.00,d,3,c,c,2,c,1,yes,1
0,6,1,0.29,2,5,0.67,c,a,1.00,d,11,c,c,2,c,1,yes,1
1,0,3,0.16,2,3,0.33,b,a,0.33,a,-9,c,b,1,c,1,yes,2
1,30,5,0.38,2,3,0.67,c,a,1.00,d,20,c,c,2,c,2,yes,2
0,6,3,0.18,3,4,0.67,b,a,1.00,c,-10,c,b,1,c,1,yes,1
2,0,3,0.05,2,3,1.00,b,c,1.00,a,-7,c,b,1,b,2,yes,1
2,8,3,0.42,2,2,0.33,c,a,0.67,c,-3,c,b,2,c,1,yes,1
0,-3,1,0.07,3,3,1.00,b,a,0.67,c,-2,c,b,1,c,1,yes,1
0,-14,1,0.07,2,4,0.33,c,a,0.00,a,9,c,b,2,b,2,yes,1
1,18,3,0.11,2,3,1.00,a,a,1.00,c,-2,c,a,1,c,1,yes,2
1,-12,3,0.02,2,2,0.67,c,a,1.00,a,8,c,b,1,b,2,yes,1
2,18,3,0.11,2,4,0.67,c,a,0.00,c,-1,c,b,2,c,2,yes,1
2,-3,3,0.13,3,3,0.33,b,a,1.00,c,-5,c,a,2,c,1,yes,2
0,-6,2,0.07,2,3,1.00,d,a,1.00,a,8,c,a,1,c,1,yes,1
0,6,3,0.06,3,4,1.00,d,a,0.67,b,-7,c,b,1,c,1,yes,1
0,6,3,0.16,1,2,1.00,c,a,0.33,c,-8,c,b,2,c,1,yes,1
3,3,1,0.11,2,2,0.33,a,a,0.00,c,0,c,a,1,c,1,yes,2
1,-12,3,0.06,1,1,1.00,b,a,0.67,b,42,c,b,1,d,1,yes,1
2,0,1,0.18,2,5,0.67,b,a,1.00,b,4,c,b,1,c,1,yes,1
1,30,3,0.41,2,5,1.00,c,a,1.00,d,9,a,c,1,d,1,yes,2
3,0,3,0.15,2,2,0.00,b,a,0.00,b,12,b,b,1,b,1,yes,1
2,-6,3,0.07,2,2,0.00,d,a,0.00,a,-10,c,a,1,c,1,yes,2
0,6,2,0.10,2,5,1.00,c,a,1.00,d,27,c,c,2,c,1,yes,1
1,12,3,0.34,1,5,1.00,c,a,1.00,b,-2,c,b,1,c,1,yes,2
3,0,3,0.14,2,3,0.33,c,a,0.00,a,1,c,b,1,b,2,yes,2
0,-6,1,0.06,2,5,1.00,c,a,1.00,a,28,c,b,2,b,1,yes,1
1,6,2,0.06,2,1,1.00,c,a,0.33,a,10,c,c,2,c,2,yes,2
0,6,1,0.10,2,3,1.00,b,a,1.00,c,4,c,b,1,c,1,yes,1
0,6,3,0.07,2,4,0.67,c,a,0.00,c,-1,a,b,1,c,2,yes,1
1,-6,4,0.02,2,3,1.00,b,a,1.00,a,-9,a,b,1,b,1,yes,2
0,30,1,0.47,1,4,0.33,c,a,0.00,d,2,c,c,2,c,1,yes,1
0,-6,1,0.04,1,4,1.00,b,a,1.00,a,-10,c,b,2,c,1,yes,1
0,-12,4,0.08,4,5,0.33,c,a,1.00,b,12,a,b,1,b,2,yes,1
1,30,3,0.37,2,4,0.00,d,c,0.00,a,1,c,b,2,c,1,yes,2
2,-6,1,0.10,3,2,1.00,c,a,0.00,c,-6,c,b,1,c,1,yes,1
2,-9,3,0.05,2,4,1.00,b,a,1.00,b,34,c,b,2,d,1,yes,1
2,-6,3,0.06,2,2,0.33,c,a,0.00,c,-11,b,b,1,c,1,yes,2
2,-6,5,0.11,3,2,0.67,b,a,0.67,c,-5,c,b,2,c,1,yes,2
0,3,5,0.26,1,3,0.00,b,a,1.00,b,-4,a,b,2,c,1,yes,2
1,6,4,0.18,2,4,0.67,c,a,1.00,c,-6,a,b,1,c,1,yes,2
2,0,1,0.09,2,2,0.33,c,a,0.33,a,-2,c,b,2,b,1,yes,2
1,6,3,0.15,1,5,1.00,c,a,1.00,d,16,a,c,1,c,2,yes,1
1,6,4,0.07,2,4,1.00,c,c,1.00,c,-9,a,a,1,b,1,yes,2
3,-12,2,0.02,2,2,0.33,b,a,0.00,b,-4,a,b,1,c,1,yes,1
2,18,3,0.67,1,3,0.00,c,a,1.00,d,4,c,c,1,c,1,yes,2
2,6,2,0.25,1,3,1.00,c,a,0.33,b,4,a,b,2,d,1,yes,1
2,6,2,0.07,3,4,0.67,b,a,0.33,b,-10,c,a,2,c,1,yes,1
